subID,time,method,channel,ints,slope
a22,A,fooof,frontal,0.5003083,1.04037931
a22,A,fooof,central,1.1124559,1.45843268
a22,A,fooof,parietal,1.18942309,1.51282127
a22,A,fooof,occipital,0.76652125,0.98886068
a22,B,lmer,frontal,1.37858631,-1.084155889
a22,B,lmer,central,2.998505861,-1.611938293
a22,B,lmer,parietal,3.153222399,-1.657142373
a22,B,lmer,occipital,2.577507735,-1.309864481
a22,B,fooof,frontal,0.439135704,1.026700198
a22,B,fooof,central,0.953972169,1.437277388
a22,B,fooof,parietal,1.110594966,1.564609068
a22,B,fooof,occipital,1.006513196,1.387084134
a22,C,lmer,frontal,1.825510213,-1.176704737
a22,C,lmer,central,2.653346423,-1.408304141
a22,C,lmer,parietal,2.775301588,-1.483775462
a22,C,lmer,occipital,2.025183924,-1.0956028
a22,C,fooof,frontal,1.8,1.5487
a22,C,fooof,central,1.05908988,1.41737452
a22,C,fooof,parietal,1.14716527,1.48266843
a22,C,fooof,occipital,0.7817828,1.04847877
a23,A,lmer,frontal,2.434752464,-1.090415487
a23,A,lmer,central,3.420618687,-1.338853602
a23,A,lmer,parietal,4.051565343,-1.482111285
a23,A,lmer,occipital,3.527928117,-1.367316623
a23,A,fooof,frontal,0.85228035,1.07583227
a23,A,fooof,central,1.16523484,1.2030506
a23,A,fooof,parietal,1.35167787,1.32194936
a23,A,fooof,occipital,1.06242033,1.11908004
a23,B,lmer,frontal,2.683575443,-1.236833756
a23,B,lmer,central,3.470793263,-1.445498544
a23,B,lmer,parietal,3.545153517,-1.467167123
a23,B,lmer,occipital,3.116230864,-1.354526044
a23,B,fooof,frontal,1.145129639,1.499764375
a23,B,fooof,central,1.366219194,1.601320114
a23,B,fooof,parietal,1.305616483,1.559877465
a23,B,fooof,occipital,1.143060721,1.456349002
a23,C,lmer,frontal,2.086797516,-0.923625858
a23,C,lmer,central,3.124407918,-1.201436667
a23,C,lmer,parietal,4.084215661,-1.494605251
a23,C,lmer,occipital,3.773688647,-1.468655561
a23,C,fooof,frontal,0.5891,0.7198
a23,C,fooof,central,0.95344814,0.95346162
a23,C,fooof,parietal,1.2958966,1.23789713
a23,C,fooof,occipital,1.16056306,1.21699058
a24,A,lmer,frontal,2.065135156,-1.47595823
a24,A,lmer,central,2.878432343,-1.500776292
a24,A,lmer,parietal,3.018556702,-1.593002464
a24,A,lmer,occipital,2.227380747,-1.380744644
a24,A,fooof,frontal,0.89405199,1.53187863
a24,A,fooof,central,1.13846848,1.47435873
a24,A,fooof,parietal,1.16196128,1.55933302
