"","X.Intercept.","lgHz"
"l10:b03",3.71655145582067,-1.56986595614195
"l10:b04",4.0496810849524,-1.65500778526362
"l10:b05",3.91551145538358,-1.65256906244677
"l10:b06",3.98333840365219,-1.66843416646511
"l10:b07",3.9944373602488,-1.66302108163789
"l10:b08",4.03233640907404,-1.69916912666709
"l10:b09",4.12135002863007,-1.75495368128677
"l10:b10",4.20275083117741,-1.7739097584517
"l10:b11",3.9076418297938,-1.67865203115618
"l10:b12",3.90370244073253,-1.68696519982927
"l10:b13",3.98234921840774,-1.67012125850958
"l10:b14",4.01632486474263,-1.70997626980795
"l10:b15",3.94581607140223,-1.65838703782731
"l10:b16",3.81698571476018,-1.61367380384231
"l10:b17",4.01949699847582,-1.68762276787962
"l10:b18",3.86167547690819,-1.61326626385783
"l10:b19",3.85170462760838,-1.60620660459403
"l10:b20",3.8051862831455,-1.58202201568629
"l10:posttest",3.72366497997655,-1.63067539656047
"l10:pretest",3.83904202228057,-1.68446926073926
"l11:b01",4.13336858586289,-1.68311563495141
"l11:b02",4.01658295520851,-1.62729962992206
"l11:b03",4.17251748453853,-1.67429089558977
"l11:b04",4.11137044724122,-1.671124859867
"l11:b05",4.1675457172687,-1.71994417267747
"l11:b06",4.10321148501335,-1.68150450561309
"l11:b07",4.04440557924461,-1.65950951913205
"l11:b08",4.16664189480145,-1.6997434637029
"l11:b09",3.78569925055657,-1.52095966904373
"l11:b10",4.28743407373243,-1.71950513811907
"l11:b11",4.12674324634437,-1.66012593194703
"l11:b12",4.06191994587404,-1.63248800640161
"l11:b13",4.08623050371403,-1.65606060133345
"l11:b14",3.87840126486671,-1.58253832985929
"l11:b15",4.2749557836182,-1.71916013986815
"l11:b16",3.88818025394655,-1.5426670494271
"l11:b17",4.14631853086226,-1.64850707024551
"l11:b18",4.43824334937233,-1.76222116359966
"l11:b19",4.13840252182182,-1.64558755385789
"l11:b20",4.03104799338905,-1.63905626947972
"l11:posttest",4.1548934865833,-1.42866094903306
"l11:pretest",4.12147656145101,-1.5009839064653
"l12:b01",2.78362683270113,-1.25878621652825
"l12:b02",3.0408828245725,-1.40957366334335
"l12:b03",2.99160647019192,-1.39280439626451
"l12:b04",2.91423434237956,-1.40772851030888
"l12:b05",2.90119831616084,-1.38210254883451
"l12:b06",3.40173643604059,-1.5919280570393
