index,cluster,subID,time,block,frontal_intercept,frontal_slope,frontal_rsquared,central_intercept,central_slope,central_rsquared,parietal_intercept,parietal_slope,parietal_rsquared,occipital_intercept,occipital_slope,occipital_rsquared
48,a03_prac_b03,a03,prac,b03,2.561130211,-1.239669077,0.964579369,4.279504341,-1.631837992,0.956905206,4.306098592,-1.698642233,0.9135586,3.837373407,-1.498049337,0.863609901
49,a03_prac_b04,a03,prac,b04,2.693996309,-1.278093609,0.977929741,4.539683286,-1.730848348,0.959009317,4.622981787,-1.84090055,0.931418701,4.099070149,-1.639516331,0.899995848
50,a03_prac_b05,a03,prac,b05,2.59097969,-1.261189727,0.952687764,4.4841947,-1.724912147,0.954358839,4.445949443,-1.772009889,0.910411587,3.906552197,-1.579729169,0.872795962
51,a03_prac_b06,a03,prac,b06,2.520794117,-1.237180267,0.973299194,4.217852998,-1.637206614,0.962591661,4.388121575,-1.764312113,0.927209312,3.918536143,-1.571615625,0.894665611
52,a03_prac_b07,a03,prac,b07,2.611445331,-1.302786745,0.94023093,4.456914734,-1.738567897,0.941711927,4.583129284,-1.849719731,0.897492786,4.251475847,-1.712361114,0.866569019
53,a03_prac_b08,a03,prac,b08,2.944500498,-1.420217131,0.973618393,4.642145153,-1.786349404,0.96391345,4.564195253,-1.820391445,0.917831379,4.066425788,-1.632401177,0.87861537
54,a03_prac_b09,a03,prac,b09,2.352431701,-1.142634993,0.959718748,4.046577903,-1.52630491,0.95281884,4.177638837,-1.658575565,0.899120142,3.910818233,-1.572004744,0.873380047
55,a03_prac_b10,a03,prac,b10,2.686037089,-1.276869767,0.912233061,4.467849382,-1.690804985,0.928532695,4.70378073,-1.85800766,0.868659402,4.232179146,-1.687905965,0.842500029
56,a03_prac_b11,a03,prac,b11,2.565201197,-1.276661542,0.946344396,4.356301699,-1.694350208,0.932539785,4.623291557,-1.833048643,0.866963426,4.14379201,-1.644988786,0.840983347
57,a03_prac_b12,a03,prac,b12,2.574676432,-1.252907955,0.979862933,4.402019403,-1.681347773,0.967949458,4.547056379,-1.813974419,0.910547385,4.133103972,-1.6501261,0.868647222
58,a03_prac_b13,a03,prac,b13,2.719359002,-1.307427146,0.964836962,4.290743591,-1.643871296,0.953810681,4.404749015,-1.737979576,0.901908716,3.959796436,-1.563892417,0.841369002
59,a03_prac_b14,a03,prac,b14,2.584307752,-1.315862385,0.972085859,4.136469789,-1.619874752,0.943570496,4.047981961,-1.65802955,0.915327145,3.685498445,-1.523844931,0.919931068
60,a03_prac_b15,a03,prac,b15,3.377237349,-1.615308595,0.933270241,4.840265734,-1.884458032,0.893742842,4.927294214,-1.942763617,0.83632101,4.338950384,-1.705363847,0.813078664
61,a03_prac_b16,a03,prac,b16,2.898814764,-1.465459559,0.986451313,4.363358435,-1.738860368,0.98332563,4.25040767,-1.767523886,0.963315228,3.981359093,-1.637396858,0.929252702
62,a03_prac_b17,a03,prac,b17,2.500047773,-1.245915831,0.925666499,4.268688968,-1.650403845,0.920808843,4.281129135,-1.72285405,0.87004587,3.925740878,-1.564062944,0.832716414
63,a03_prac_b18,a03,prac,b18,3.023708299,-1.462872149,0.931669323,4.697000052,-1.831482867,0.910362168,4.692156503,-1.871121834,0.838271802,4.30003775,-1.697466571,0.80384454
