subID,time,block,difficulty,diffQ,diff,intercept_frontal,lgHz_frontal,intercept_central,lgHz_central,intercept_parietal,lgHz_parietal,intercept_occipital,lgHz_occipital,offset_frontal,slope_frontal,offset_central,slope_central,offset_parietal,slope_parietal,offset_occipital,slope_occipital
a04,prac,b07,P2,Q2,5,2.183792043,-1.290351182,3.688711517,-1.599677998,3.554775404,-1.573861397,2.786740127,-1.241007713,0.694721776,1.098504588,1.381513419,1.504862286,1.34843812,1.467863805,1.118283614,1.189907005
a04,prac,b08,P2,Q2,5,2.315894352,-1.38673479,3.889373143,-1.71671957,3.677981413,-1.663372122,2.971766815,-1.388304915,0.812068966,1.248795146,1.429330327,1.57801422,1.46158672,1.66125434,1.313602775,1.497696409
a04,prac,b09,P1,Q2,4,1.960443345,-1.236505912,3.743627416,-1.647151106,3.611601862,-1.638564752,2.780868606,-1.315274248,0.368021557,0.870684324,1.121769996,1.345705617,1.159085713,1.403981277,0.989919673,1.228561788
a04,prac,b10,P2,Q2,5,2.322053393,-1.368598702,3.913526961,-1.71788003,3.701936756,-1.668413922,2.746896049,-1.26613992,0.783190654,1.198750014,1.391588403,1.537175574,1.503007541,1.638090229,1.137489074,1.261568314
a04,prac,b11,P2,Q2,5,2.569500957,-1.526757852,3.985629074,-1.776608077,3.6994651,-1.681775645,2.789014939,-1.271010754,0.894935561,1.373445123,1.47179825,1.630649658,1.464830331,1.639383756,1.198634466,1.306906022
a04,prac,b12,P2,Q2,5,2.212080575,-1.361626598,3.705399044,-1.634145822,3.451004628,-1.569543201,2.58491454,-1.210143263,0.746331712,1.202792453,1.322517832,1.474536598,1.329822362,1.50697077,1.080189644,1.225693323
a04,prac,b13,P3,Q2,6,2.202058452,-1.369833833,3.769092096,-1.69621809,3.601901943,-1.640099319,2.739051645,-1.237042222,0.708099895,1.181538097,1.452402869,1.63766718,1.440625105,1.607200451,1.159804061,1.254022047
a04,prac,b14,P3,Q2,6,2.205791189,-1.365864242,3.972788099,-1.773578904,3.600740018,-1.668094504,2.692974765,-1.294847119,0.937586178,1.409602426,1.465930281,1.643721696,1.457538165,1.652744716,1.162576003,1.322451555
a04,prac,b15,P3,Q2,6,2.486236469,-1.417117647,3.725746927,-1.640538273,3.482164554,-1.578355044,2.645797046,-1.22431125,0.893747564,1.278495656,1.351018619,1.49052581,1.403389162,1.556701684,1.158834945,1.27967667
a04,prac,b16,E1,Q3,7,2.225448018,-1.342120741,3.785730807,-1.661681843,3.579042992,-1.588675523,2.775657024,-1.208065927,0.665222377,1.115469711,1.330453478,1.437618933,1.45427952,1.551017403,1.170372754,1.203403705
a04,prac,b17,E1,Q3,7,2.244408181,-1.369177831,3.932188481,-1.706460544,3.658373437,-1.640420578,3.032631738,-1.386939513,0.773919112,1.231392568,1.485335194,1.583998139,1.495672834,1.63880811,1.287261458,1.40264558
a04,prac,b18,P3,Q2,6,2.045408647,-1.222662827,3.493221569,-1.500115274,3.505257514,-1.568901095,2.764914312,-1.227820373,0.862806507,1.285537316,1.260467905,1.329772163,1.356535399,1.484230943,1.210849608,1.260820221
a04,prac,b19,P3,Q2,6,1.83208171,-1.15887522,3.511260303,-1.540786153,3.557705302,-1.600358429,2.878121633,-1.309832078,0.582786889,0.997147919,1.321059973,1.414924579,1.440781024,1.574911717,1.265388474,1.379315954
a04,prac,b20,P3,Q2,6,1.926513561,-1.188176082,3.422093326,-1.524996977,3.417204715,-1.558522651,2.806178184,-1.297906224,0.573100049,0.991692944,1.109026358,1.297395444,1.282489125,1.475149871,1.19755969,1.346446737
a04,ave_prac,ave_prac,,,,2.127261249,-1.276319151,3.696773452,-1.613341942,3.537242924,-1.58458256,2.742381063,-1.234999781,0.700001769,1.114623107,1.328129807,1.444871625,1.378888514,1.518070466,1.145181665,1.241140817
a04,rest,posttest,,,,3.107545099,-1.184575963,3.160018015,-1.194744519,2.906487827,-1.154746114,1.922365895,-0.901877505,1.224992996,1.124890727,0.923268729,0.96872193,0.811380289,0.987728286,0.575409868,0.765714812
a04,rest,pretest,,,,2.50902855,-1.290246505,3.314659039,-1.36639291,3.204232466,-1.3002254,2.430267099,-0.938748657,1.150357871,1.4778978,1.162245696,1.268462054,1.147834822,1.247100016,0.943320729,0.948986488
a05,prac,b01,N1,Q1,1,1.452857072,-0.834109722,2.726512479,-1.116602166,2.479293928,-0.975063303,2.178925707,-0.842813499,0.584053752,0.78928703,1.114408601,1.071268667,1.080942041,1.026875756,0.870793305,0.805060673
a05,prac,b02,N3,Q1,3,1.711759403,-0.951257824,3.133088984,-1.317029765,2.961717405,-1.219735047,2.479877703,-1.001706916,0.707340452,0.916743626,1.152534917,1.165212992,1.232452912,1.196135243,1.066870167,1.062291119
a05,prac,b03,P1,Q2,4,1.612922484,-0.936489413,3.014362314,-1.2995938,2.929255255,-1.230791518,2.496841136,-1.000231494,0.704852592,0.993418894,1.242076716,1.271667801,1.236610037,1.254398643,1.04339401,1.036560737
a05,prac,b04,P1,Q2,4,1.972631342,-1.060858547,3.326905451,-1.421284304,3.172957915,-1.338153285,2.383424945,-0.977138961,0.550384288,0.815290757,1.408004237,1.439549513,1.367687915,1.392616604,1.004362385,1.03449111
